날짜,강동구,Car registration
2015-06-28,137662.0,3056588.0
2015-06-29,137662.0,3056588.0
2015-06-30,137662.0,3056588.0
2015-07-01,137662.0,3056588.0
2015-07-02,137662.0,3056588.0
2015-07-03,137662.0,3056588.0
2015-07-04,137662.0,3056588.0
2015-07-05,137662.0,3056588.0
2015-07-06,137662.0,3056588.0
2015-07-07,137662.0,3056588.0
2015-07-08,137662.0,3056588.0
2015-07-09,137662.0,3056588.0
2015-07-10,137662.0,3056588.0
2015-07-11,137662.0,3056588.0
2015-07-12,137662.0,3056588.0
2015-07-13,137662.0,3056588.0
2015-07-14,137662.0,3056588.0
2015-07-15,137662.0,3056588.0
2015-07-16,137662.0,3056588.0
2015-07-17,137662.0,3056588.0
2015-07-18,137662.0,3056588.0
2015-07-19,137662.0,3056588.0
2015-07-20,137662.0,3056588.0
2015-07-21,137662.0,3056588.0
2015-07-22,137662.0,3056588.0
2015-07-23,137662.0,3056588.0
2015-07-24,137662.0,3056588.0
2015-07-25,137662.0,3056588.0
2015-07-26,137662.0,3056588.0
2015-07-27,137662.0,3056588.0
2015-07-28,137662.0,3056588.0
2015-07-29,137662.0,3056588.0
2015-07-30,137662.0,3056588.0
2015-07-31,137662.0,3056588.0
2015-08-01,137662.0,3056588.0
2015-08-02,137662.0,3056588.0
2015-08-03,137662.0,3056588.0
2015-08-04,137662.0,3056588.0
2015-08-05,137662.0,3056588.0
2015-08-06,137662.0,3056588.0
2015-08-07,137662.0,3056588.0
2015-08-08,137662.0,3056588.0
2015-08-09,137662.0,3056588.0
2015-08-10,137662.0,3056588.0
2015-08-11,137662.0,3056588.0
2015-08-12,137662.0,3056588.0
2015-08-13,137662.0,3056588.0
2015-08-14,137662.0,3056588.0
2015-08-15,137662.0,3056588.0
2015-08-16,137662.0,3056588.0
2015-08-17,137662.0,3056588.0
2015-08-18,137662.0,3056588.0
2015-08-19,137662.0,3056588.0
2015-08-20,137662.0,3056588.0
2015-08-21,137662.0,3056588.0
2015-08-22,137662.0,3056588.0
2015-08-23,137662.0,3056588.0
2015-08-24,137662.0,3056588.0
2015-08-25,137662.0,3056588.0
2015-08-26,137662.0,3056588.0
2015-08-27,137662.0,3056588.0
2015-08-28,137662.0,3056588.0
2015-08-29,137662.0,3056588.0
2015-08-30,137662.0,3056588.0
2015-08-31,137662.0,3056588.0
2015-09-01,137662.0,3056588.0
2015-09-02,137662.0,3056588.0
2015-09-03,137662.0,3056588.0
2015-09-04,137662.0,3056588.0
2015-09-05,137662.0,3056588.0
2015-09-06,137662.0,3056588.0
2015-09-07,137662.0,3056588.0
2015-09-08,137662.0,3056588.0
2015-09-09,137662.0,3056588.0
2015-09-10,137662.0,3056588.0
2015-09-11,137662.0,3056588.0
2015-09-12,137662.0,3056588.0
2015-09-13,137662.0,3056588.0
2015-09-14,137662.0,3056588.0
2015-09-15,137662.0,3056588.0
2015-09-16,137662.0,3056588.0
2015-09-17,137662.0,3056588.0
2015-09-18,137662.0,3056588.0
2015-09-19,137662.0,3056588.0
2015-09-20,137662.0,3056588.0
2015-09-21,137662.0,3056588.0
2015-09-22,137662.0,3056588.0
2015-09-23,137662.0,3056588.0
2015-09-24,137662.0,3056588.0
2015-09-25,137662.0,3056588.0
2015-09-26,137662.0,3056588.0
2015-09-27,137662.0,3056588.0
2015-09-28,137662.0,3056588.0
2015-09-29,137662.0,3056588.0
2015-09-30,137662.0,3056588.0
2015-10-01,137662.0,3056588.0
2015-10-02,137662.0,3056588.0
2015-10-03,137662.0,3056588.0
2015-10-04,137662.0,3056588.0
2015-10-05,137662.0,3056588.0
2015-10-06,137662.0,3056588.0
2015-10-07,137662.0,3056588.0
2015-10-08,137662.0,3056588.0
2015-10-09,137662.0,3056588.0
2015-10-10,137662.0,3056588.0
2015-10-11,137662.0,3056588.0
2015-10-12,137662.0,3056588.0
2015-10-13,137662.0,3056588.0
2015-10-14,137662.0,3056588.0
2015-10-15,137662.0,3056588.0
2015-10-16,137662.0,3056588.0
2015-10-17,137662.0,3056588.0
2015-10-18,137662.0,3056588.0
2015-10-19,137662.0,3056588.0
2015-10-20,137662.0,3056588.0
2015-10-21,137662.0,3056588.0
2015-10-22,137662.0,3056588.0
2015-10-23,137662.0,3056588.0
2015-10-24,137662.0,3056588.0
