Date,GDP,Economic growth rate
2015-08-29,420791,3.3
2015-08-30,420791,3.3
2015-08-31,420791,3.3
2015-09-01,420791,3.3
2015-09-02,420791,3.3
2015-09-03,420791,3.3
2015-09-04,420791,3.3
2015-09-05,420791,3.3
2015-09-06,420791,3.3
2015-09-07,420791,3.3
2015-09-08,420791,3.3
2015-09-09,420791,3.3
2015-09-10,420791,3.3
2015-09-11,420791,3.3
2015-09-12,420791,3.3
2015-09-13,420791,3.3
2015-09-14,420791,3.3
2015-09-15,420791,3.3
2015-09-16,420791,3.3
2015-09-17,420791,3.3
2015-09-18,420791,3.3
2015-09-19,420791,3.3
2015-09-20,420791,3.3
2015-09-21,420791,3.3
2015-09-22,420791,3.3
2015-09-23,420791,3.3
2015-09-24,420791,3.3
2015-09-25,420791,3.3
2015-09-26,420791,3.3
2015-09-27,420791,3.3
2015-09-28,420791,3.3
2015-09-29,420791,3.3
2015-09-30,420791,3.3
2015-10-01,431570,3.4
2015-10-02,431570,3.4
2015-10-03,431570,3.4
2015-10-04,431570,3.4
2015-10-05,431570,3.4
2015-10-06,431570,3.4
2015-10-07,431570,3.4
2015-10-08,431570,3.4
2015-10-09,431570,3.4
2015-10-10,431570,3.4
2015-10-11,431570,3.4
2015-10-12,431570,3.4
2015-10-13,431570,3.4
2015-10-14,431570,3.4
2015-10-15,431570,3.4
2015-10-16,431570,3.4
2015-10-17,431570,3.4
2015-10-18,431570,3.4
2015-10-19,431570,3.4
2015-10-20,431570,3.4
2015-10-21,431570,3.4
2015-10-22,431570,3.4
2015-10-23,431570,3.4
2015-10-24,431570,3.4
2015-10-25,431570,3.4
2015-10-26,431570,3.4
2015-10-27,431570,3.4
2015-10-28,431570,3.4
2015-10-29,431570,3.4
2015-10-30,431570,3.4
2015-10-31,431570,3.4
2015-11-01,431570,3.4
2015-11-02,431570,3.4
2015-11-03,431570,3.4
2015-11-04,431570,3.4
2015-11-05,431570,3.4
2015-11-06,431570,3.4
2015-11-07,431570,3.4
2015-11-08,431570,3.4
2015-11-09,431570,3.4
2015-11-10,431570,3.4
2015-11-11,431570,3.4
2015-11-12,431570,3.4
2015-11-13,431570,3.4
2015-11-14,431570,3.4
2015-11-15,431570,3.4
2015-11-16,431570,3.4
2015-11-17,431570,3.4
2015-11-18,431570,3.4
2015-11-19,431570,3.4
2015-11-20,431570,3.4
2015-11-21,431570,3.4
